Title,URL,Audio Path
Sabrina Carpenter - Espresso,,
Benson Boone - Beautiful Things,https://www.youtube.com/watch?v=Oa_RSwwpPaA&pp=ygUfQmVuc29uIEJvb25lIC0gQmVhdXRpZnVsIFRoaW5ncw%3D%3D,downloads/Benson Boone - Beautiful Things.mp3
Billie Eilish - BIRDS OF A FEATHER,https://www.youtube.com/watch?v=V9PVRfjEBTI&pp=ygUiQmlsbGllIEVpbGlzaCAtIEJJUkRTIE9GIEEgRkVBVEhFUg%3D%3D,downloads/Billie Eilish - BIRDS OF A FEATHER.mp3
Anne-Marie - FRIENDS,https://www.youtube.com/watch?v=CY8E6N5Nzec&pp=ygUUQW5uZS1NYXJpZSAtIEZSSUVORFM%3D,downloads/Anne-Marie - FRIENDS.mp3
FloyyMenor - Gata Only,https://www.youtube.com/watch?v=-r687V8yqKY&pp=ygUWRmxveXlNZW5vciAtIEdhdGEgT25seQ%3D%3D,downloads/FloyyMenor - Gata Only.mp3
Lady Gaga - Die With A Smile,https://www.youtube.com/watch?v=kPa7bsKwL-c&pp=ygUcTGFkeSBHYWdhIC0gRGllIFdpdGggQSBTbWlsZQ%3D%3D,downloads/Lady Gaga - Die With A Smile.mp3
Hozier - Too Sweet,https://www.youtube.com/watch?v=NTpbbQUBbuo&pp=ygUSSG96aWVyIC0gVG9vIFN3ZWV0,downloads/Hozier - Too Sweet.mp3
Jimin - Who,https://www.youtube.com/watch?v=Av9DvtlJ9_M&pp=ygULSmltaW4gLSBXaG8%3D,downloads/Jimin - Who.mp3
Bruno Mars - Wake Up in the Sky,https://www.youtube.com/watch?v=U68MJz9DrI4&pp=ygUfQnJ1bm8gTWFycyAtIFdha2UgVXAgaW4gdGhlIFNreQ%3D%3D,downloads/Bruno Mars - Wake Up in the Sky.mp3
Artemas - i like the way you kiss me,https://www.youtube.com/watch?v=evJ6gX1lp2o&pp=ygUkQXJ0ZW1hcyAtIGkgbGlrZSB0aGUgd2F5IHlvdSBraXNzIG1l,downloads/Artemas - i like the way you kiss me.mp3
Ariana Grande - we can't be friends (wait for your love),https://www.youtube.com/watch?v=KNtJGQkC-WI&pp=ygU4QXJpYW5hIEdyYW5kZSAtIHdlIGNhbid0IGJlIGZyaWVuZHMgKHdhaXQgZm9yIHlvdXIgbG92ZSk%3D,downloads/Ariana Grande - we can't be friends (wait for your love).mp3
Sabrina Carpenter - Please Please Please,https://www.youtube.com/watch?v=cF1Na4AIecM&pp=ygUoU2FicmluYSBDYXJwZW50ZXIgLSBQbGVhc2UgUGxlYXNlIFBsZWFzZQ%3D%3D,downloads/Sabrina Carpenter - Please Please Please.mp3
Tommy Richman - MILLION DOLLAR BABY,https://www.youtube.com/watch?v=Zf1d8SGuxfs&pp=ygUjVG9tbXkgUmljaG1hbiAtIE1JTExJT04gRE9MTEFSIEJBQlk%3D,downloads/Tommy Richman - MILLION DOLLAR BABY.mp3
Kendrick Lamar - Not Like Us,https://www.youtube.com/watch?v=H58vbez_m4E&pp=ygUcS2VuZHJpY2sgTGFtYXIgLSBOb3QgTGlrZSBVcw%3D%3D,downloads/Kendrick Lamar - Not Like Us.mp3
Post Malone - I Had Some Help (Feat. Morgan Wallen),https://www.youtube.com/watch?v=4QIZE708gJ4&pp=ygUzUG9zdCBNYWxvbmUgLSBJIEhhZCBTb21lIEhlbHAgKEZlYXQuIE1vcmdhbiBXYWxsZW4p,downloads/Post Malone - I Had Some Help (Feat. Morgan Wallen).mp3
KAROL G - Si Antes Te Hubiera Conocido,https://www.youtube.com/watch?v=MgsdDfdGdHc&pp=ygUmS0FST0wgRyAtIFNpIEFudGVzIFRlIEh1YmllcmEgQ29ub2NpZG8%3D,downloads/KAROL G - Si Antes Te Hubiera Conocido.mp3
Taylor Swift - Fortnight,https://www.youtube.com/watch?v=q3zqJs7JUCQ&pp=ygUYVGF5bG9yIFN3aWZ0IC0gRm9ydG5pZ2h0,downloads/Taylor Swift - Fortnight.mp3
SZA - Saturn,https://www.youtube.com/watch?v=V2G8ESoDXm8&pp=ygUMU1pBIC0gU2F0dXJu,downloads/SZA - Saturn.mp3
Billie Eilish - LUNCH,https://www.youtube.com/watch?v=MB3VkzPdgLA&pp=ygUVQmlsbGllIEVpbGlzaCAtIExVTkNI,downloads/Billie Eilish - LUNCH.mp3
Billie Eilish - WILDFLOWER,https://www.youtube.com/watch?v=l08Zw-RY__Q&pp=ygUaQmlsbGllIEVpbGlzaCAtIFdJTERGTE9XRVI%3D,downloads/Billie Eilish - WILDFLOWER.mp3
Sabrina Carpenter - Taste,https://www.youtube.com/watch?v=KEG7b851Ric&pp=ygUZU2FicmluYSBDYXJwZW50ZXIgLSBUYXN0ZQ%3D%3D,downloads/Sabrina Carpenter - Taste.mp3
Future - Like That,https://www.youtube.com/watch?v=N9bKBAA22Go&pp=ygUSRnV0dXJlIC0gTGlrZSBUaGF0,downloads/Future - Like That.mp3
Don Henley - The Boys Of Summer,https://www.youtube.com/watch?v=N9bKBAA22Go&pp=ygUSRnV0dXJlIC0gTGlrZSBUaGF0,downloads/Don Henley - The Boys Of Summer.mp3
AronChupa - I'm an Albatraoz,https://www.youtube.com/watch?v=Bznxx12Ptl0&pp=ygUcQXJvbkNodXBhIC0gSSdtIGFuIEFsYmF0cmFveg%3D%3D,downloads/AronChupa - I'm an Albatraoz.mp3
21 Savage - redrum,https://www.youtube.com/watch?v=U4mADkt6o-M&pp=ygUSMjEgU2F2YWdlIC0gcmVkcnVt,downloads/21 Savage - redrum.mp3
Mark Ambor - Belong Together,https://www.youtube.com/watch?v=xPWnNFF-TAw&pp=ygUcTWFyayBBbWJvciAtIEJlbG9uZyBUb2dldGhlcg%3D%3D,downloads/Mark Ambor - Belong Together.mp3
BeyoncÃ© - TEXAS HOLD 'EM,https://www.youtube.com/watch?v=238Z4YaAr1g&pp=ygUbQmV5b25jw4PCqSAtIFRFWEFTIEhPTEQgJ0VN,downloads/BeyoncÃ© - TEXAS HOLD 'EM.mp3
Myles Smith - Stargazing,https://www.youtube.com/watch?v=tKml80alH3Y&pp=ygUYTXlsZXMgU21pdGggLSBTdGFyZ2F6aW5n,downloads/Myles Smith - Stargazing.mp3
Billie Eilish - CHIHIRO,https://www.youtube.com/watch?v=BY_XwvKogC8&pp=ygUXQmlsbGllIEVpbGlzaCAtIENISUhJUk8%3D,downloads/Billie Eilish - CHIHIRO.mp3
Benson Boone - Slow It Down,https://www.youtube.com/watch?v=f4Y3b7un4LE&pp=ygUbQmVuc29uIEJvb25lIC0gU2xvdyBJdCBEb3du,downloads/Benson Boone - Slow It Down.mp3
ROSÃ - APT.,https://www.youtube.com/watch?v=Lwv254J8Ozk&pp=ygUOUk9Tw4PCiSAtIEFQVC4%3D,downloads/ROSÃ - APT..mp3
Rvssian - Santa,https://www.youtube.com/watch?v=9V_HpS9p4QY&pp=ygUPUnZzc2lhbiAtIFNhbnRh,downloads/Rvssian - Santa.mp3
"Ariana Grande - yes, and?",https://www.youtube.com/watch?v=eB6txyhHFG4&pp=ygUZQXJpYW5hIEdyYW5kZSAtIHllcywgYW5kPw%3D%3D,"downloads/Ariana Grande - yes, and?.mp3"
Taylor Swift - I Can Do It With a Broken Heart,https://www.youtube.com/watch?v=Sl6en1NPTYM&pp=ygUuVGF5bG9yIFN3aWZ0IC0gSSBDYW4gRG8gSXQgV2l0aCBhIEJyb2tlbiBIZWFydA%3D%3D,downloads/Taylor Swift - I Can Do It With a Broken Heart.mp3
Natanael Cano - Madonna,https://www.youtube.com/watch?v=fPyAklAUknM&pp=ygUXTmF0YW5hZWwgQ2FubyAtIE1hZG9ubmE%3D,downloads/Natanael Cano - Madonna.mp3
Bakermat - BaianÃ¡,https://www.youtube.com/watch?v=iaGjz4dtr3o&pp=ygUUQmFrZXJtYXQgLSBCYWlhbsODwqE%3D,downloads/Bakermat - BaianÃ¡.mp3
Eminem - Houdini,https://www.youtube.com/watch?v=22tVWwmTie8&pp=ygUQRW1pbmVtIC0gSG91ZGluaQ%3D%3D,downloads/Eminem - Houdini.mp3
Luis R Conriquez - Si No Quieres No,https://www.youtube.com/watch?v=-V-sywKOCwQ&pp=ygUjTHVpcyBSIENvbnJpcXVleiAtIFNpIE5vIFF1aWVyZXMgTm8%3D,downloads/Luis R Conriquez - Si No Quieres No.mp3
Dua Lipa - Training Season,https://www.youtube.com/watch?v=3DcoC8p9az8&pp=ygUaRHVhIExpcGEgLSBUcmFpbmluZyBTZWFzb24%3D,downloads/Dua Lipa - Training Season.mp3
V - FRI(END)S,https://www.youtube.com/watch?v=62peQdQv4uo&pp=ygUNViAtIEZSSShFTkQpUw%3D%3D,downloads/V - FRI(END)S.mp3
Norah Jones - Come Away With Me,https://www.youtube.com/watch?v=lbjZPFBD6JU&pp=ygUfTm9yYWggSm9uZXMgLSBDb21lIEF3YXkgV2l0aCBNZQ%3D%3D,downloads/Norah Jones - Come Away With Me.mp3
David Guetta - I Don't Wanna Wait,https://www.youtube.com/watch?v=dSDbwfXX5_I&pp=ygUhRGF2aWQgR3VldHRhIC0gSSBEb24ndCBXYW5uYSBXYWl0,downloads/David Guetta - I Don't Wanna Wait.mp3
Future - Type Shit,https://www.youtube.com/watch?v=I0fgkcTbBoI&pp=ygUSRnV0dXJlIC0gVHlwZSBTaGl0,downloads/Future - Type Shit.mp3
"Arijit Singh - Chaleya (From ""Jawan"")",https://www.youtube.com/watch?v=VAdGW7QDJiU&pp=ygUlQXJpaml0IFNpbmdoIC0gQ2hhbGV5YSAoRnJvbSAiSmF3YW4iKQ%3D%3D,"downloads/Arijit Singh - Chaleya (From ""Jawan"").mp3"
Don Omar - Bandoleros,https://www.youtube.com/watch?v=4ZG3pwWGJrk&pp=ygUVRG9uIE9tYXIgLSBCYW5kb2xlcm9z,downloads/Don Omar - Bandoleros.mp3
Sevdaliza - Alibi,https://www.youtube.com/watch?v=qVqFuokjRMc&pp=ygURU2V2ZGFsaXphIC0gQWxpYmk%3D,downloads/Sevdaliza - Alibi.mp3
Ariana Grande - the boy is mine,https://www.youtube.com/watch?v=ZqCWXdZFc58&pp=ygUfQXJpYW5hIEdyYW5kZSAtIHRoZSBib3kgaXMgbWluZQ%3D%3D,downloads/Ariana Grande - the boy is mine.mp3
Ariana Grande - intro (end of the world),https://www.youtube.com/watch?v=p7jATa6Soag&pp=ygUoQXJpYW5hIEdyYW5kZSAtIGludHJvIChlbmQgb2YgdGhlIHdvcmxkKQ%3D%3D,downloads/Ariana Grande - intro (end of the world).mp3
Trueno - REAL GANGSTA LOVE,https://www.youtube.com/watch?v=gaxbVfsoF6Q&pp=ygUaVHJ1ZW5vIC0gUkVBTCBHQU5HU1RBIExPVkU%3D,downloads/Trueno - REAL GANGSTA LOVE.mp3
Henry Moodie - drunk text,https://www.youtube.com/watch?v=OqEc_169ywY&pp=ygUZSGVucnkgTW9vZGllIC0gZHJ1bmsgdGV4dA%3D%3D,downloads/Henry Moodie - drunk text.mp3
